p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.6034737629242774e-233	1.5453996941026853	0.35	0.016	2.7079464908265198e-229	8	Ccl6
2.6819141191443913e-231	2.27015770891421	0.627	0.057	4.529216564411048e-227	8	Zeb2
1.0327418368792967e-229	2.819711557467275	0.65	0.062	1.7440944141217562e-225	8	Il1rn
1.0843400867502152e-228	1.1901604773532843	0.364	0.018	1.8312335385037634e-224	8	Atf7ip
1.0218379905054758e-224	1.6354252419818678	0.3	0.012	1.7256799983656476e-220	8	Bcl2a1b
2.1754062170645137e-224	1.507402842947908	0.359	0.018	3.673826019378551e-220	8	Tlr2
2.7453741022602206e-223	0.8819722041441271	0.263	0.008	4.6363877838970604e-219	8	Retreg1
5.155026572389488e-220	1.3236469601128102	0.387	0.021	8.705808875451368e-216	8	Spi1
4.1217102310840125e-219	1.0069851845184126	0.3	0.012	6.96074423825468e-215	8	Inpp5d
6.729675478038443e-218	1.4782017679811754	0.525	0.042	1.1365075947311322e-213	8	Suco
8.481508544746253e-217	1.375175830260474	0.539	0.042	1.432357163036747e-212	8	Laptm5
5.75266271602941e-216	1.2769038306867693	0.313	0.014	9.715096794830468e-212	8	Slc31a2
2.058508393499438e-215	1.482584597362819	0.47	0.034	3.4764089749418506e-211	8	Baz2b
3.9505392819231025e-212	1.9595372850846289	0.613	0.059	6.671670739311735e-208	8	Taldo1
2.8330607870111594e-211	1.3352856084444407	0.548	0.047	4.784473057104446e-207	8	Vps4b
6.6665433902953975e-211	1.0095162817363736	0.516	0.041	1.1258458477530867e-206	8	Anxa11
1.0891495887916233e-210	1.2269105268901421	0.406	0.025	1.8393558255512934e-206	8	Snap23
5.749292173845041e-210	1.207207465142895	0.364	0.02	9.709404623189506e-206	8	Wbp1l
1.9361527807554945e-209	1.3491899077185667	0.286	0.012	3.269774816139879e-205	8	Rnasel
1.5163828099364748e-208	1.938244779690689	0.627	0.062	2.5608672894207186e-204	8	Antxr2
3.279714580921731e-208	1.852535923969624	0.594	0.056	5.538781984260619e-204	8	Kctd12
4.349969550279591e-208	1.7255996319681175	0.581	0.053	7.346228576512173e-204	8	Nudt4
8.200461561874818e-208	1.4062960673265041	0.313	0.014	1.3848939485694192e-203	8	Cpne2
4.298157356036839e-207	1.5685642224485496	0.539	0.046	7.258728142875014e-203	8	Fam107b
1.0249858638474429e-206	0.9642388036000685	0.498	0.039	1.7309961268655617e-202	8	Hbp1
9.31951500753981e-205	1.6533500848646456	0.336	0.017	1.573879694473323e-200	8	Btbd9
7.416872266616986e-204	1.4506765701708182	0.581	0.053	1.2525613883862766e-199	8	Cyba
9.072531695257891e-204	1.502322819919755	0.429	0.029	1.5321691526951525e-199	8	Lsp1
2.526056829507446e-201	1.8773630254177647	0.696	0.079	4.266004773672175e-197	8	Efhd2
5.096788136057361e-201	1.8166070029383234	0.548	0.049	8.607455804173672e-197	8	Cflar
1.8694104567166654e-200	2.3602426187373693	0.719	0.088	3.1570603793031044e-196	8	Prdx5
7.114886556748625e-200	1.4381696461422466	0.507	0.043	1.201562041703708e-195	8	Tut7
7.114716478958572e-198	1.1183440029513791	0.35	0.02	1.2015333189665237e-193	8	Mtmr6
4.15974976811817e-197	1.384133620928601	0.548	0.051	7.024985408397965e-193	8	March7
2.1251521728380103e-195	1.8020859062258783	0.447	0.034	3.5889569894888315e-191	8	Tcp11l2
5.52059958479519e-194	4.994196811732653	0.922	0.22	9.323188578802116e-190	8	S100a9
2.597618335314141e-193	1.2908985364524017	0.35	0.02	4.386857844678521e-189	8	Alas1
4.791713732579264e-193	4.980078976692399	0.599	0.069	8.092246151579861e-189	8	Spp1
5.992654093604957e-193	1.278791722770261	0.359	0.021	1.0120394233280051e-188	8	Gcnt2
6.790829766276791e-193	1.495077210223213	0.604	0.062	1.1468353309288245e-188	8	Rab8b
1.4573050861439377e-191	1.5997403207179728	0.438	0.033	2.461096829479882e-187	8	Creg1
2.3828556958776375e-191	1.924776926097882	0.585	0.06	4.024166699198154e-187	8	Tgoln1
5.49964819595669e-191	1.153479824288551	0.304	0.015	9.287805873331658e-187	8	Lst1
5.936231976382531e-191	1.3070005578406452	0.258	0.01	1.0025108561714819e-186	8	Fuca2
6.085317315266558e-191	1.2288811999019822	0.512	0.044	1.0276883882022164e-186	8	Btg2
6.418103206605939e-191	1.0146001481505604	0.309	0.016	1.083889269531611e-186	8	Crlf2
3.4190185051821146e-190	0.6721584691086806	0.263	0.011	5.774038451551555e-186	8	Dock2
3.8232440467093504e-190	1.7574429933974658	0.346	0.02	6.4566945460827506e-186	8	Traf1
7.229445882663051e-190	1.5792293781068283	0.253	0.01	1.220908820664136e-185	8	Samd9l
2.3394265214381145e-188	1.7206695699866421	0.687	0.082	3.9508235094046876e-184	8	Litaf
1.206602729376585e-187	1.452317942182277	0.341	0.02	2.0377106893711767e-183	8	Cmip
1.3944924087120073e-187	2.0838033735203663	0.687	0.084	2.355018779832838e-183	8	Rab7
1.6324420567722211e-187	0.7625755684563271	0.29	0.014	2.756868145476927e-183	8	Slc27a4
1.966789276640789e-187	0.944052789226694	0.387	0.026	3.3215137303909647e-183	8	Nabp1
7.498232480497378e-187	1.058296886964968	0.415	0.03	1.266301501306397e-182	8	Cnppd1
7.904121782630489e-187	1.257846415941183	0.493	0.042	1.334848086650637e-182	8	Arhgdib
1.437106686356375e-186	1.389374898933588	0.373	0.024	2.426985771918646e-182	8	Klhl24
1.856080115306088e-186	1.1234758440798047	0.535	0.05	3.134548098728921e-182	8	Fnip1
8.853978188179051e-184	0.6313854989655757	0.295	0.015	1.495259836419678e-179	8	Adprh
