gene_name	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14
Hnrnpul1	0.4559275326787987	0.5470165366011305	0.6190246868278342	0.5113817701404331	0.4399320349848199	0.5272560163050877	0.5769832138631787	0.7167082544693707	0.33588453568101684	0.254624946548796	0.41993990058382075	0.4772684153246522	0.854291836442061	0.8038250570665949	0.4752824279434966
Axl	0.34105584867449035	0.29534522486899	1.2431068193757866	0.49385996595393744	0.07943643981244973	0.1454548456733231	0.1608261940049847	0.003667264750678149	0.14730023018665037	1.0075974165012926	1.5253427905967292	0.300760056672157	0.5958637289699326	0	0
Cyp2s1	0.054641184249308396	0.08852080309822064	0	0.06211241706100436	0.09494341585808981	0	0.05607218995550675	0	0	0	0	0.005439629593667708	0	0	0
Cyp2b10	0.09204005934099409	0.08667603030742174	0	0	0.07856166866239278	0	0.18891095272957076	0	0	0.10178615064860823	0	0	0	0	0
Cyp2b19	0.011701076130691521	0	0	0	0	0	0	0.05627268573079761	0	0	0	0	0	0	0.9931499462093317
Cyp2g1	0.02613178858699153	0.016860536147195005	0.025168058018659623	0.13025342572727236	0.10896663272040263	0.3549989458117767	0	0.047894305405108875	0.0072377650851240035	0	0	0	0	0	2.343034417696856
Cyp2f2	0.039269162376707294	0.037507033461084756	0.19364554236678533	0	0	0.14633125423647173	0	0	0	0	0.4579602840598446	0	0	0	0.2688008117222813
Egln2	0.3147761682195469	0.356069958089113	0.47598497640744064	0.5542572785924567	0.32653344046547145	0.3476876956229235	0.4331071343813886	0.5810095816953713	0.49280331961720236	0.5078871666047327	0.3445327831838677	0.6353856924535831	0.5404888155895495	0.5612595555983971	0.6231685377817039
Rab4b	0.04597562363117976	0.046926402140552076	0.027344494156600146	0	0.10368538181308663	0	0.0021413478003708066	0.0028188073581520393	0.01628161019792894	0	0.02921153901154186	0.027882177441385093	0	0.051790578682251315	0
Mia	0.013567827111186781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpa	0.4091983705865579	0.41632780013084547	0.4023008591216116	0.48187837045688964	0.1419157331638741	0.14148246434340353	0.4587088257515328	0.16722969393297554	0.034220888972206764	0.46147430297764924	0.32686224034004246	0.24560787027207448	0.9845090359794457	0.779505250498879	0
BC024978	0.042740324839047196	0.008354581555524761	0.09282318130894944	0.11569375305489485	0	0.11226561960419282	0.11984728651277282	0.005588158727498194	0	0.4821463681855078	0.01241944976990789	0.08688124127257012	0.5740450370498226	0	0
Itpkc	0.7624989107125639	0.9519315884547429	0.4531232934300724	0.31494380289921703	0.5537308598783921	1.0009862398743556	1.1335237377639256	0.7855296964920344	0.09385260732129036	0.17012845799152013	0.5217462976703309	0.13420694006813405	0.5518632379904804	0.07442803042913265	1.286011463161038
Coq8b	0.2564763464421546	0.2501523248360662	0.2880204932708314	0.1561064754035355	0.10896663272040263	0.2133460089393769	0.14793956144802434	0.35327467418142	0.02998610481151705	0.08029194314614078	0.28610311116735826	0.17895385786632184	0.5442265438540962	0	0.696396177807914
Numbl	0.11220469845122735	0.07106114147106875	0.45676070435302707	0.06688293427490688	0	0.1477783822298771	0.08126292256648614	0.35637192966871356	0.008913517356647421	0.09720154713257333	0.6323041909202947	0.026208566555838364	0	0	0
Ltbp4	0.18414666463359444	0.2060663656672735	0.752334173077277	0.14406249606740706	0	0.3025519945551977	0.35269879164080586	1.196146004096569	0.009351237273067456	0.29995114888399194	0.8989844533569872	0.008216871824988882	0	0	0
Shkbp1	0.028554038286507905	0.13622453427424744	0.006017589466923988	0.17648404951807034	0.10470023900222061	0	0.07077564198772122	0.20159069516120284	0.31445283900589843	0.005657243611757706	0.01483068512806377	0.07745343159385384	0	0	0
Sptbn4	0	0	0	0.03127003802997976	0	0	0.0022306420825778314	0	0	0	0	0	0	0	0
