gene_name	gene_expression
Mettl21c	0.00496775314991626
Gm8251	0.06180467319993714
Tex30	0.37575845936750163
Poglut2	0.0642713498046816
Bivm	0.04147446356789573
Ercc5	0.0739978976125884
Gulp1	0.09004542254989725
Gm37626	0
Col3a1	3.276943510249155
Col5a2	1.1532133630802244
Gm38211	0.028857828278909595
Wdr75	0.25342718343046466
Gm5269	9.38359466600284e-4
Slc40a1	0.24226898602251307
Dnah7b	5.158497759964911e-4
Slc39a10	0.20580018379435525
Tmeff2	0.12814154718080464
Cavin2	0.18401793050136234
Nabp1	0.5136571618438164
Myo1b	0.6225399279306206
Stat4	0.04151163029676762
Stat1	0.26526063658307447
Gls	1.2502535525156682
Nab1	0.8336662445690035
Nemp2	0.014382061329232202
Mfsd6	0.25729430403972825
Inpp1	0.03983931699725003
Hibch	0.057133419806630954
1700019D03Rik	0.02559265780373961
Pms1	0.004087465026604879
Ormdl1	0.08840235638357107
Osgepl1	0.009996314467983934
Asnsd1	0.16658274622451105
Dnah7a	1.0694023943746847e-4
Stk17b	0.8443801427739906
Hecw2	0.02681317531520827
Gm37633	1.307306232172316e-4
Gtf3c3	0.07619256279591104
Pgap1	0.0973855860122648
Gm36955	7.312585367427103e-4
Ankrd44	0.11008137192707645
Gm37370	8.064568711223647e-4
A130048G24Rik	0.018160420324121362
Sf3b1	1.0867671215819013
E330011M16Rik	0.012831015401499479
Coq10b	0.9246701744977908
Hspd1	1.3184000791497257
Hspe1	1.4223736840971803
Mob4	0.6825657272583797
Rftn2	0.0720642604090568
Mars2	0.09845975393943987
Plcl1	0.035250560806713446
Gm38056	0.005004112435492457
Satb2	0.011198941257158828
1700066M21Rik	0.023959058108633396
Tyw5	0.05953560838293942
Maip1	0.1865804622739664
Spats2l	0.11873847879208917
Kctd18	0.05697454598298285
Sgo2a	0.06373571961068698
Aox1	0.0013481765120521949
Aox3	0.02631703400027791
Aox4	0.026560530080190024
Gm37607	0.006599313611961433
Bzw1	1.5781879025835763
Clk1	0.8885945322451477
Ppil3	0.13224065376423333
Nif3l1	0.06871508223925989
Orc2	0.12775003082746608
Fam126b	0.1068152615163622
Ndufb3	0.7574753433444217
Flacc1	0.006071272756730435
Cflar	0.7781625904757379
Casp8	0.3228052547712699
Gm37760	0.040965084769244306
Trak2	0.26083692372091793
Stradb	0.07542241837506117
Tmem237	0.07155401813571695
Mpp4	0.005617139805792458
Als2	0.054185548075343905
Cdk15	0.010486655012985877
Fzd7	0.07060257622473527
Gm973	0.0050977967656931095
Sumo1	1.0131030666401442
D430013B06Rik	0.016071881880648252
Nop58	0.7908374143844507
Bmpr2	0.7388236315109262
Gm38125	0.020593914901698034
Fam117b	0.2946406743568001
Gm37531	0.0611746966003797
Ica1l	0.009448083221811968
Wdr12	0.16305156810865915
Carf	0.030924978468504317
Nbeal1	0.3243471732023153
Cyp20a1	0.14955017825525563
6030460B20Rik	0.0025516983564267725
Abi2	0.08032093461314543
Raph1	0.6749490234092563
Cd28	0.023521023520488002
Icos	0.03025604768608307
Pard3b	0.05947996114961278
Gm37205	0.005250250952005129
Gm38012	0.00400367610737968
Gm38351	3.685419828836056e-4
Nrp2	0.5568768602876311
Gm37121	0.022902209248126842
Ino80d	0.42533019804474465
Ndufs1	0.3172340966823439
Eef1b2	2.6267021569755906
Gpr1	8.625224708886216e-4
Zdbf2	0.041984250028938526
Adam23	0.06930356811902326
Fastkd2	0.0961247454049006
Klf7	0.997658501503175
Creb1	0.4432847166650872
Mettl21a	0.0678951698359422
Ccnyl1	0.37427980467989386
Fzd5	0.29569500656312864
Plekhm3	0.08014871748166727
Akr1cl	0.001993964072060628
Idh1	0.4937433914728192
Pikfyve	0.16170356919975565
Map2	0.026935903080135465
Gm37181	7.958060715384124e-4
Rpe	0.2583202614314805
Kansl1l	0.3184200107137846
Gm37570	0.019413180804816577
Gm38387	0.019063872453741745
Gm38162	0.00948419215804243
6820402A03Rik	0.02709804296516109
Gm38218	9.248375107781812e-4
Acadl	0.6206415542407375
Myl1	0.11502104615706206
Lancl1	0.3301334179790501
Ikzf2	0.10169291781581587
Bard1	0.047932766014176016
Abca12	0.2023267624958
Atic	0.2080721453370789
Fn1	1.6333051246162584
Mreg	0.24835493899239752
Pecr	0.046629763523083394
Tmem169	1.5573301690221e-4
Xrcc5	0.15903306568133363
Smarcal1	0.018745262074003937
Rpl37a	3.5661770963639885
Igfbp2	0.1555012017261915
Igfbp5	0.6463779164632372
Tns1	0.250256932450655
Rufy4	0.004119738048092951
Cxcr2	0.11780588848795176
Cxcr1	0.005393027626603337
Arpc2	1.8610630309149432
Aamp	0.7983377919728514
Pnkd	0.19243428905086524
Gm37503	0.005578546959182377
Tmbim1	0.6013736176539967
Gm37931	0.002136326361397046
Catip	0.009494572424819617
Slc11a1	0.3520629063959704
Ctdsp1	0.2637200830727333
Vil1	2.1758349182956135e-4
Usp37	0.20541979130830748
Gm37733	0.01312700450462272
Cnot9	0.22443088244045695
Plcd4	0.0037265779863055394
Zfp142	0.1604039819314924
Bcs1l	0.016017008002213652
Rnf25	0.09336849713819939
Stk36	0.007312017353633015
Ttll4	0.1435973957331643
Cyp27a1	0.037564701928801146
Prkag3	0.0013108917565410815
Wnt6	0.005249329158355417
Wnt10a	0.22261228341021877
Cryba2	0.005940658585119322
Cfap65	1.2136282898640136e-4
Ihh	0.0037076841548127617
Nhej1	0.025013264696880727
Slc23a3	0.024089860105356194
